1,kent_palabon,palabok@sunypoly.edu,20,2024-08-22
2,jane_smith,jane@example.com,25,2021-08-15
3,alice_jones,alice@example.com,28,2022-01-22
4,bob_white,bob@example.com,35,2019-11-05
5,charlie_brown,charlie@example.com,40,2020-09-30
6,david_black,david@example.com,49,2018-07-12
7,edward_green,edward@example.com,26,2019-02-14
8,frank_blue,frank@example.com,27,2018-03-01
9,george_yellow,george@example.com,29,2017-05-10
10,harry_purple,harry@example.com,30,2015-12-25
11,ian_orange,ian@example.com,45,2016-03-15
12,jack_red,jack@example.com,50,2017-06-01
